Date,Yield
2020-02-01,0.633
2020-03-01,0.4609
2020-04-01,0.3577
2020-05-01,0.2743
2020-06-01,0.278
2020-07-01,0.2094
2020-08-01,0.2717
2020-09-01,0.273
2020-10-01,0.3058
2020-11-01,0.3836
2020-12-01,0.3224
2021-01-01,0.3672
2021-02-01,0.6222
2021-03-01,0.8456
2021-04-01,0.8515
2021-05-01,0.9058
2021-06-01,0.8549
2021-07-01,0.6979
2021-08-01,0.644
2021-09-01,0.8023
2021-10-01,1.083
2021-11-01,0.9394
2021-12-01,0.8375
2022-01-01,1.2051
2022-02-01,1.4891
2022-03-01,1.5457
2022-04-01,1.8362
2022-05-01,1.9069
2022-06-01,2.3824
2022-07-01,2.1454
2022-08-01,2.3278
2022-09-01,3.5007
2022-10-01,4.1096
2022-11-01,3.4171
2022-12-01,3.5015
2023-01-01,3.5115
2023-02-01,3.5553
2023-03-01,3.5638
2023-04-01,3.6503
2023-05-01,3.9621
2023-06-01,4.3659
2023-07-01,4.4372
2023-08-01,4.5298
2023-09-01,4.4199
2023-10-01,4.5695
2023-11-01,4.2721
2023-12-01,3.8622
2024-01-01,3.9319
2024-02-01,4.123
2024-03-01,4.033
2024-04-01,4.2172
2024-05-01,4.2229
2024-06-01,4.1644
2024-07-01,4.1386
2024-08-01,3.9444
2024-09-01,3.9053
2024-10-01,4.1993
2024-11-01,4.4164
2024-12-01,4.4345
2025-01-01,4.6627
2025-02-01,4.5063
2025-03-01,4.6448
2025-04-01,4.5762
2025-05-01,4.6004
2025-06-01,4.5248
2025-07-01,4.5924
